Title,Start,End,Day of week,Duration
john doe,10/30/17 0:00,10/31/17 0:00,Mon,24:00:00
john doe,11/1/17 0:00,11/2/17 0:00,Wed,24:00:00
john doe,11/1/17 0:00,11/2/17 0:00,Wed,24:00:00
john doe,11/3/17 0:00,11/4/17 0:00,Fri,24:00:00
john doe,11/3/17 0:00,11/4/17 0:00,Fri,24:00:00
john doe,11/3/17 0:00,11/4/17 0:00,Fri,24:00:00
john doe,11/3/17 0:00,11/4/17 0:00,Fri,24:00:00
john doe,11/5/17 0:00,11/6/17 0:00,Sun,24:00:00
john doe,11/5/17 0:00,11/6/17 0:00,Sun,24:00:00
john doe,11/5/17 0:00,11/6/17 0:00,Sun,24:00:00
john doe,11/5/17 0:00,11/6/17 0:00,Sun,24:00:00
john doe,11/7/17 0:00,11/8/17 0:00,Tue,24:00:00
john doe,11/7/17 0:00,11/8/17 0:00,Tue,24:00:00
john doe,11/8/17 0:00,11/9/17 0:00,Wed,24:00:00
john doe,11/8/17 0:00,11/9/17 0:00,Wed,24:00:00
john doe,11/10/17 0:00,11/11/17 0:00,Fri,24:00:00
john doe,11/11/17 0:00,11/12/17 0:00,Sat,24:00:00
john doe,11/11/17 0:00,11/12/17 0:00,Sat,24:00:00
john doe,11/11/17 0:00,11/12/17 0:00,Sat,24:00:00
john doe,11/13/17 0:00,11/14/17 0:00,Mon,24:00:00
john doe,11/14/17 0:00,11/15/17 0:00,Tue,24:00:00
john doe,11/14/17 0:00,11/15/17 0:00,Tue,24:00:00
john doe,11/15/17 0:00,11/16/17 0:00,Wed,24:00:00
john doe,11/15/17 0:00,11/16/17 0:00,Wed,24:00:00
john doe,11/15/17 0:00,11/16/17 0:00,Wed,24:00:00
john doe,11/16/17 0:00,11/17/17 0:00,Thu,24:00:00
john doe,11/16/17 0:00,11/17/17 0:00,Thu,24:00:00
john doe,11/17/17 0:00,11/18/17 0:00,Fri,24:00:00
john doe,11/18/17 0:00,11/19/17 0:00,Sat,24:00:00
john doe,11/18/17 0:00,11/19/17 0:00,Sat,24:00:00
